Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
wisconsin;TRUE;TRUE;TRUE;TRUE;224;427;17;15;0.93334143529068;NaN
wisconsin;FALSE;TRUE;TRUE;TRUE;227;430;14;12;0.945841543799037;NaN
wisconsin;TRUE;FALSE;TRUE;TRUE;224;425;19;15;0.929492588233404;NaN
wisconsin;FALSE;FALSE;TRUE;TRUE;118;431;13;121;0.666879563991716;NaN
wisconsin;TRUE;TRUE;FALSE;TRUE;221;428;16;18;0.928579625235891;NaN
wisconsin;FALSE;TRUE;FALSE;TRUE;216;428;16;23;0.917298763803122;NaN
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
wisconsin;TRUE;TRUE;TRUE;TRUE;226;427;17;13;0.937791629199774;NaN
wisconsin;FALSE;TRUE;TRUE;TRUE;224;429;15;15;0.937238493723849;NaN
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
wisconsin;TRUE;TRUE;TRUE;TRUE;224;426;18;15;0.931411047628927;NaN
wisconsin;FALSE;TRUE;TRUE;TRUE;217;430;14;22;0.923538050513783;NaN
wisconsin;TRUE;FALSE;TRUE;TRUE;217;429;15;22;0.921545517339248;NaN
wisconsin;FALSE;FALSE;TRUE;TRUE;141;433;11;98;0.739772815492818;NaN
wisconsin;TRUE;TRUE;FALSE;TRUE;226;428;16;13;0.939727217697043;NaN
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
wisconsin;TRUE;TRUE;TRUE;TRUE;228;424;20;11;0.936504904467265;NaN
wisconsin;FALSE;TRUE;TRUE;TRUE;222;430;14;17;0.934755485613888;NaN
wisconsin;TRUE;FALSE;TRUE;TRUE;223;431;13;16;0.938966095909446;NaN
wisconsin;FALSE;FALSE;TRUE;TRUE;114;431;13;125;0.654340859893704;NaN
wisconsin;TRUE;TRUE;FALSE;TRUE;218;429;15;21;0.92380345596639;NaN
wisconsin;FALSE;TRUE;FALSE;TRUE;207;431;13;32;0.902734529658868;NaN
wisconsin;TRUE;FALSE;FALSE;TRUE;213;431;13;26;0.916487262397292;NaN
wisconsin;FALSE;FALSE;FALSE;TRUE;-;-;-;-;-;-
wisconsin;TRUE;TRUE;TRUE;FALSE;225;425;19;14;0.931726943399949;NaN
wisconsin;FALSE;TRUE;TRUE;FALSE;225;428;16;14;0.937508138126799;NaN
wisconsin;TRUE;FALSE;TRUE;FALSE;217;431;13;22;0.925543564385887;NaN
wisconsin;FALSE;FALSE;TRUE;FALSE;124;435;9;115;0.695499647483859;NaN
wisconsin;TRUE;TRUE;FALSE;FALSE;225;424;20;14;0.92982351558274;NaN
wisconsin;FALSE;TRUE;FALSE;FALSE;219;428;16;20;0.924083537182062;NaN
wisconsin;TRUE;FALSE;FALSE;FALSE;213;432;12;26;0.918521642841474;NaN
dermatology-6;TRUE;TRUE;TRUE;TRUE;20;337;1;0;0.975900072948533;NaN
dermatology-6;FALSE;TRUE;TRUE;TRUE;20;337;1;0;0.975900072948533;NaN
dermatology-6;TRUE;FALSE;TRUE;TRUE;20;337;1;0;0.975900072948533;NaN
